Postal Code,Latitude,Longitude,Borough,Neighbourhood
M1B,43.806686299999996,-79.19435340000001,Scarborough,"Malvern, Rouge"
M1C,43.7845351,-79.16049709999999,Scarborough,"Rouge Hill, Port Union, Highland Creek"
M1E,43.7635726,-79.1887115,Scarborough,"Guildwood, Morningside, West Hill"
M1G,43.7709921,-79.21691740000001,Scarborough,Woburn
M1H,43.773136,-79.23947609999999,Scarborough,Cedarbrae
M1J,43.7447342,-79.23947609999999,Scarborough,Scarborough Village
M1K,43.7279292,-79.26202940000002,Scarborough,"Kennedy Park, Ionview, East Birchmount Park"
M1L,43.711111700000004,-79.2845772,Scarborough,"Golden Mile, Clairlea, Oakridge"
M1M,43.716316,-79.23947609999999,Scarborough,"Cliffside, Cliffcrest, Scarborough Village West"
M1N,43.692657000000004,-79.2648481,Scarborough,"Birch Cliff, Cliffside West"
M1P,43.7574096,-79.27330400000001,Scarborough,"Dorset Park, Wexford Heights, Scarborough Town Centre"
M1R,43.750071500000004,-79.2958491,Scarborough,"Wexford, Maryvale"
M1S,43.7942003,-79.26202940000002,Scarborough,Agincourt
M1T,43.7816375,-79.3043021,Scarborough,"Clarks Corners, Tam O'Shanter, Sullivan"
M1V,43.8152522,-79.2845772,Scarborough,"Milliken, Agincourt North, Steeles East, L'Amoreaux East"
M1W,43.799525200000005,-79.3183887,Scarborough,"Steeles West, L'Amoreaux West"
M1X,43.836124700000006,-79.20563609999999,Scarborough,Upper Rouge
M2H,43.8037622,-79.3634517,North York,Hillcrest Village
M2J,43.7785175,-79.3465557,North York,"Fairview, Henry Farm, Oriole"
M2K,43.7869473,-79.385975,North York,Bayview Village
M2L,43.7574902,-79.37471409999999,North York,"York Mills, Silver Hills"
M2M,43.789053,-79.40849279999999,North York,"Willowdale, Newtonbrook"
M2N,43.7701199,-79.40849279999999,North York,"Willowdale, Willowdale East"
M2P,43.752758299999996,-79.4000493,North York,York Mills West
M2R,43.7827364,-79.4422593,North York,"Willowdale, Willowdale West"
M3A,43.7532586,-79.3296565,North York,Parkwoods
M3B,43.745905799999996,-79.352188,North York,Don Mills
M3C,43.72589970000001,-79.340923,North York,Don Mills
M3H,43.7543283,-79.4422593,North York,"Bathurst Manor, Wilson Heights, Downsview North"
M3J,43.7679803,-79.48726190000001,North York,"Northwood Park, York University"
M3K,43.737473200000004,-79.46476329999999,North York,Downsview
M3L,43.7390146,-79.5069436,North York,Downsview
M3M,43.7284964,-79.49569740000001,North York,Downsview
M3N,43.7616313,-79.52099940000001,North York,Downsview
M4A,43.725882299999995,-79.31557159999998,North York,Victoria Village
M4B,43.7063972,-79.309937,East York,"Parkview Hill, Woodbine Gardens"
M4C,43.695343900000005,-79.3183887,East York,Woodbine Heights
M4E,43.67635739999999,-79.2930312,East Toronto,The Beaches
M4G,43.7090604,-79.3634517,East York,Leaside
M4H,43.7053689,-79.34937190000001,East York,Thorncliffe Park
M4J,43.685347,-79.3381065,East York,"East Toronto, Broadview North (Old East York)"
M4K,43.6795571,-79.352188,East Toronto,"The Danforth West, Riverdale"
M4L,43.6689985,-79.31557159999998,East Toronto,"India Bazaar, The Beaches West"
M4M,43.6595255,-79.340923,East Toronto,Studio District
M4N,43.7280205,-79.3887901,Central Toronto,Lawrence Park
M4P,43.7127511,-79.3901975,Central Toronto,Davisville North
M4R,43.7153834,-79.40567840000001,Central Toronto,"North Toronto West, Lawrence Park"
M4S,43.7043244,-79.3887901,Central Toronto,Davisville
M4T,43.6895743,-79.38315990000001,Central Toronto,"Moore Park, Summerhill East"
M4V,43.68641229999999,-79.4000493,Central Toronto,"Summerhill West, Rathnelly, South Hill, Forest Hill SE, Deer Park"
M4W,43.6795626,-79.37752940000001,Downtown Toronto,Rosedale
M4X,43.667967,-79.3676753,Downtown Toronto,"St. James Town, Cabbagetown"
M4Y,43.6658599,-79.38315990000001,Downtown Toronto,Church and Wellesley
M5A,43.6542599,-79.3606359,Downtown Toronto,"Regent Park, Harbourfront"
M5B,43.6571618,-79.37893709999999,Downtown Toronto,"Garden District, Ryerson"
M5C,43.6514939,-79.3754179,Downtown Toronto,St. James Town
M5E,43.644770799999996,-79.3733064,Downtown Toronto,Berczy Park
M5G,43.6579524,-79.3873826,Downtown Toronto,Central Bay Street
M5H,43.65057120000001,-79.3845675,Downtown Toronto,"Richmond, Adelaide, King"
M5J,43.6408157,-79.38175229999999,Downtown Toronto,"Harbourfront East, Union Station, Toronto Islands"
M5K,43.6471768,-79.38157640000001,Downtown Toronto,"Toronto Dominion Centre, Design Exchange"
M5L,43.6481985,-79.37981690000001,Downtown Toronto,"Commerce Court, Victoria Hotel"
M5M,43.7332825,-79.4197497,North York,"Bedford Park, Lawrence Manor East"
M5N,43.7116948,-79.41693559999999,Central Toronto,Roselawn
M5P,43.6969476,-79.41130720000001,Central Toronto,"Forest Hill North & West, Forest Hill Road Park"
M5R,43.6727097,-79.40567840000001,Central Toronto,"The Annex, North Midtown, Yorkville"
M5S,43.6626956,-79.4000493,Downtown Toronto,"University of Toronto, Harbord"
M5T,43.6532057,-79.4000493,Downtown Toronto,"Kensington Market, Chinatown, Grange Park"
M5V,43.6289467,-79.3944199,Downtown Toronto,"CN Tower, King and Spadina, Railway Lands, Harbourfront West, Bathurst Quay, South Niagara, Island airport"
M5W,43.6464352,-79.37484599999999,Downtown Toronto,Stn A PO Boxes
M5X,43.6484292,-79.3822802,Downtown Toronto,"First Canadian Place, Underground city"
M6A,43.718517999999996,-79.46476329999999,North York,"Lawrence Manor, Lawrence Heights"
M6B,43.709577,-79.44507259999999,North York,Glencairn
M6C,43.6937813,-79.42819140000002,York,Humewood-Cedarvale
M6E,43.6890256,-79.453512,York,Caledonia-Fairbanks
M6G,43.669542,-79.4225637,Downtown Toronto,Christie
M6H,43.66900510000001,-79.4422593,West Toronto,"Dufferin, Dovercourt Village"
M6J,43.647926700000006,-79.4197497,West Toronto,"Little Portugal, Trinity"
M6K,43.6368472,-79.42819140000002,West Toronto,"Brockton, Parkdale Village, Exhibition Place"
M6L,43.713756200000006,-79.4900738,North York,"North Park, Maple Leaf Park, Upwood Park"
M6M,43.6911158,-79.47601329999999,York,"Del Ray, Mount Dennis, Keelsdale and Silverthorn"
M6N,43.67318529999999,-79.48726190000001,York,"Runnymede, The Junction North"
M6P,43.6616083,-79.46476329999999,West Toronto,"High Park, The Junction South"
M6R,43.6489597,-79.456325,West Toronto,"Parkdale, Roncesvalles"
M6S,43.6515706,-79.4844499,West Toronto,"Runnymede, Swansea"
M7A,43.6623015,-79.3894938,Downtown Toronto,"Queen's Park, Ontario Provincial Government"
M7R,43.6369656,-79.61581899999999,Mississauga,Canada Post Gateway Processing Centre
M7Y,43.6627439,-79.321558,East Toronto,"Business reply mail Processing Centre, South Central Letter Processing Plant Toronto"
M8V,43.6056466,-79.50132070000001,Etobicoke,"New Toronto, Mimico South, Humber Bay Shores"
M8W,43.60241370000001,-79.54348409999999,Etobicoke,"Alderwood, Long Branch"
M8X,43.653653600000005,-79.5069436,Etobicoke,"The Kingsway, Montgomery Road, Old Mill North"
M8Y,43.6362579,-79.49850909999999,Etobicoke,"Old Mill South, King's Mill Park, Sunnylea, Humber Bay, Mimico NE, The Queensway East, Royal York South East, Kingsway Park South East"
M8Z,43.6288408,-79.52099940000001,Etobicoke,"Mimico NW, The Queensway West, South of Bloor, Kingsway Park South West, Royal York South West"
M9A,43.6678556,-79.53224240000002,Etobicoke,"Islington Avenue, Humber Valley Village"
M9B,43.6509432,-79.55472440000001,Etobicoke,"West Deane Park, Princess Gardens, Martin Grove, Islington, Cloverdale"
M9C,43.6435152,-79.57720079999999,Etobicoke,"Eringate, Bloordale Gardens, Old Burnhamthorpe, Markland Wood"
M9L,43.7563033,-79.56596329999999,North York,Humber Summit
M9M,43.7247659,-79.53224240000002,North York,"Humberlea, Emery"
M9N,43.706876,-79.51818840000001,York,Weston
M9P,43.696319,-79.53224240000002,Etobicoke,Westmount
M9R,43.6889054,-79.55472440000001,Etobicoke,"Kingsview Village, St. Phillips, Martin Grove Gardens, Richview Gardens"
M9V,43.739416399999996,-79.5884369,Etobicoke,"South Steeles, Silverstone, Humbergate, Jamestown, Mount Olive, Beaumond Heights, Thistletown, Albion Gardens"
M9W,43.706748299999994,-79.5940544,Etobicoke,"Northwest, West Humber - Clairville"
